id,type,title,raw_title,description,raw_description,active,required,options,created_at,updated_at
3.60004E+11,text,Company Name,Company Name,,,TRUE,FALSE,[],2018-04-11T13:31:53Z,2024-10-16T18:15:51Z
35423168,subject,Subject,Subject,,,TRUE,FALSE,[],2016-07-25T13:07:58Z,2018-04-11T13:35:44Z
35423188,description,Description,Description,Please enter the details of your request. A member of our support staff will respond as soon as possible.,Please enter the details of your request. A member of our support staff will respond as soon as possible.,TRUE,FALSE,[],2016-07-25T13:07:58Z,2018-04-11T13:35:44Z
35423208,status,Status,Status,Request status,Request status,TRUE,FALSE,[],2016-07-25T13:07:58Z,2023-03-08T18:44:44Z
35423228,tickettype,Type,Type,Request type,Request type,TRUE,TRUE,[],2016-07-25T13:07:58Z,2023-03-08T18:44:44Z
35423248,priority,Priority,Priority,"- Urgent: L1, CRITICAL SEVERITY - business critical issue representing a complete loss of service or a significant feature that is completely unavailable in the production environment and without an available workaround, such as Transaction Processing Service being unavailable due to a Spreedly-side issue
- High:  L2, SERIOUS SEVERITY - degraded service issue, including intermittent issues and reduced quality of service, where a workaround may be available, such as the customer’s use of Transaction Processing Service being severely impaired due to Spreedly-side issue
- Normal: L3, LOW SEVERITY - general issue or inquiry, including bugs not impacting API uptime, product questions, feature requests and development issues, such as an end-user or customer request that requires investigation by Spreedly
- Low:  No severity rating assigned - general information or documentation inquiries not requiring specific turnaround times","- Urgent: L1, CRITICAL SEVERITY - business critical issue representing a complete loss of service or a significant feature that is completely unavailable in the production environment and without an available workaround, such as Transaction Processing Service being unavailable due to a Spreedly-side issue
- High:  L2, SERIOUS SEVERITY - degraded service issue, including intermittent issues and reduced quality of service, where a workaround may be available, such as the customer’s use of Transaction Processing Service being severely impaired due to Spreedly-side issue
- Normal: L3, LOW SEVERITY - general issue or inquiry, including bugs not impacting API uptime, product questions, feature requests and development issues, such as an end-user or customer request that requires investigation by Spreedly
- Low:  No severity rating assigned - general information or documentation inquiries not requiring specific turnaround times",TRUE,TRUE,[],2016-07-25T13:07:58Z,2023-03-08T18:44:44Z
80630407,tagger,Team Routing,Team Routing,,,TRUE,TRUE,"[{""id"": 80518247, ""name"": ""Support - Tier 1"", ""raw_name"": ""Support - Tier 1"", ""value"": ""tier_1"", ""default"": false}, {""id"": 360010597594, ""name"": ""Support - Tier 2"", ""raw_name"": ""Support - Tier 2"", ""value"": ""tier_2"", ""default"": false}, {""id"": 360042255794, ""name"": ""Support - Tier 3"", ""raw_name"": ""Support - Tier 3"", ""value"": ""tier_3"", ""default"": false}, {""id"": 1260818260789, ""name"": ""Customer Success"", ""raw_name"": ""Customer Success"", ""value"": ""customer_success"", ""default"": false}, {""id"": 1260818260809, ""name"": ""Account Management"", ""raw_name"": ""Account Management"", ""value"": ""account_management"", ""default"": false}, {""id"": 360042255814, ""name"": ""Other Dept"", ""raw_name"": ""Other Dept"", ""value"": ""other_dept"", ""default"": false}]",2017-08-07T12:34:59Z,2023-03-08T18:44:44Z
35423288,assignee,Assignee,Assignee,Agent assigned to your request,Agent assigned to your request,TRUE,TRUE,[],2016-07-25T13:07:58Z,2024-06-21T16:57:38Z
76611507,tagger,In Community?,In Community?,,,FALSE,FALSE,"[{""id"": 76112267, ""name"": ""Yes, pre-existing."", ""raw_name"": ""Yes, pre-existing."", ""value"": ""exists_in_community"", ""default"": false}, {""id"": 76112287, ""name"": ""Yes, I added it."", ""raw_name"": ""Yes, I added it."", ""value"": ""added_to_community"", ""default"": false}, {""id"": 76169267, ""name"": ""No::Sensitive information, cannot include. "", ""raw_name"": ""No::Sensitive information, cannot include. "", ""value"": ""no_community_cannot_include_sensitive_info"", ""default"": false}, {""id"": 76169287, ""name"": ""No::Incomplete Request"", ""raw_name"": ""No::Incomplete Request"", ""value"": ""no_community_incomplete_request"", ""default"": false}, {""id"": 76169307, ""name"": ""No::Not Adding, Feature Request/Edge Case"", ""raw_name"": ""No::Not Adding, Feature Request/Edge Case"", ""value"": ""no_community_edge_case"", ""default"": false}, {""id"": 76738388, ""name"": ""No::Spam/Autoresponder"", ""raw_name"": ""No::Spam/Autoresponder"", ""value"": ""no_community_spam"", ""default"": false}, {""id"": 77363007, ""name"": ""No::API Update Needed, Queued Doc Update"", ""raw_name"": ""No::API Update Needed, Queued Doc Update"", ""value"": ""no__api_update_"", ""default"": false}]",2017-04-19T20:38:41Z,2024-05-08T19:19:02Z
35510248,tagger,Category,Category,,,TRUE,TRUE,"[{""id"": 29094113089947, ""name"": ""3DS Gateway Specific"", ""raw_name"": ""3DS Gateway Specific"", ""value"": ""3ds_gateway_specific"", ""default"": false}, {""id"": 29094113090075, ""name"": ""3DS Spreedly Global"", ""raw_name"": ""3DS Spreedly Global"", ""value"": ""3ds_spreedly_global"", ""default"": false}, {""id"": 29400972425499, ""name"": ""3DS Third Party"", ""raw_name"": ""3DS Third Party"", ""value"": ""3ds_third_party"", ""default"": false}, {""id"": 29094468188571, ""name"": ""Adding Payment Methods"", ""raw_name"": ""Adding Payment Methods"", ""value"": ""adding_payment_methods"", ""default"": false}, {""id"": 77569468, ""name"": ""Administrative"", ""raw_name"": ""Administrative"", ""value"": ""administrative"", ""default"": false}, {""id"": 27616362955419, ""name"": ""Administrative::2024 Pricing Change"", ""raw_name"": ""Administrative::2024 Pricing Change"", ""value"": ""administrative__2024_pricing_change"", ""default"": false}, {""id"": 29172402917403, ""name"": ""Administrative::Customer's Customer"", ""raw_name"": ""Administrative::Customer's Customer"", ""value"": ""administrative__customer_s_customer"", ""default"": false}, {""id"": 29172402917531, ""name"": ""Administrative::Prospect"", ""raw_name"": ""Administrative::Prospect"", ""value"": ""administrative__prospect"", ""default"": false}, {""id"": 57476268, ""name"": ""Autoresponder/Spam"", ""raw_name"": ""Autoresponder/Spam"", ""value"": ""ooo_autoresponder"", ""default"": false}, {""id"": 29094113090203, ""name"": ""Advanced Vault"", ""raw_name"": ""Advanced Vault"", ""value"": ""advanced_vault"", ""default"": false}, {""id"": 29094113090331, ""name"": ""APMs"", ""raw_name"": ""APMs"", ""value"": ""apms"", ""default"": false}, {""id"": 29094113090459, ""name"": ""Apple Pay"", ""raw_name"": ""Apple Pay"", ""value"": ""apple_pay"", ""default"": false}, {""id"": 29094113090587, ""name"": ""Billing"", ""raw_name"": ""Billing"", ""value"": ""billing"", ""default"": false}, {""id"": 29094113090715, ""name"": ""BIN Data"", ""raw_name"": ""BIN Data"", ""value"": ""bin_data"", ""default"": false}, {""id"": 29094113090971, ""name"": ""Composer"", ""raw_name"": ""Composer"", ""value"": ""composer"", ""default"": false}, {""id"": 29106378388891, ""name"": ""Customer Ticket Traction"", ""raw_name"": ""Customer Ticket Traction"", ""value"": ""customer_ticket_traction"", ""default"": false}, {""id"": 29094113091099, ""name"": ""Dashboard & Reporting"", ""raw_name"": ""Dashboard & Reporting"", ""value"": ""dashboard___reporting"", ""default"": false}, {""id"": 57476228, ""name"": ""Document Request"", ""raw_name"": ""Document Request"", ""value"": ""document_request"", ""default"": false}, {""id"": 29094113091227, ""name"": ""Export"", ""raw_name"": ""Export"", ""value"": ""export"", ""default"": false}, {""id"": 29094113091355, ""name"": ""Express"", ""raw_name"": ""Express"", ""value"": ""express"", ""default"": false}, {""id"": 29094113091483, ""name"": ""Fingerprinting"", ""raw_name"": ""Fingerprinting"", ""value"": ""fingerprinting"", ""default"": false}, {""id"": 29094113091611, ""name"": ""Fraud"", ""raw_name"": ""Fraud"", ""value"": ""fraud"", ""default"": false}, {""id"": 29094113091739, ""name"": ""Gateways"", ""raw_name"": ""Gateways"", ""value"": ""gateways"", ""default"": false}, {""id"": 29094113091867, ""name"": ""Google Pay"", ""raw_name"": ""Google Pay"", ""value"": ""google_pay"", ""default"": false}, {""id"": 29094113091995, ""name"": ""GSF/GSRF"", ""raw_name"": ""GSF/GSRF"", ""value"": ""gsf/gsrf"", ""default"": false}, {""id"": 29094113092123, ""name"": ""iFrame"", ""raw_name"": ""iFrame"", ""value"": ""iframe"", ""default"": false}, {""id"": 29094113092251, ""name"": ""Import"", ""raw_name"": ""Import"", ""value"": ""import"", ""default"": false}, {""id"": 29094113092379, ""name"": ""Internal Migration"", ""raw_name"": ""Internal Migration"", ""value"": ""internal_migration"", ""default"": false}, {""id"": 29094113092507, ""name"": ""MFA"", ""raw_name"": ""MFA"", ""value"": ""mfa"", ""default"": false}, {""id"": 29094113092635, ""name"": ""Network Tokens"", ""raw_name"": ""Network Tokens"", ""value"": ""network_tokens"", ""default"": false}, {""id"": 29106572929179, ""name"": ""New Feature Request"", ""raw_name"": ""New Feature Request"", ""value"": ""new_feature_request"", ""default"": false}, {""id"": 29107602060827, ""name"": ""Notifications: Gateway/Partner "", ""raw_name"": ""Notifications: Gateway/Partner "", ""value"": ""notifications__gateway/partner_"", ""default"": false}, {""id"": 29995814525467, ""name"": ""Notification: Spreedly"", ""raw_name"": ""Notification: Spreedly"", ""value"": ""notification__spreedly"", ""default"": false}, {""id"": 29094113092763, ""name"": ""Offsite Payments/PayPal"", ""raw_name"": ""Offsite Payments/PayPal"", ""value"": ""offsite_payments/paypal"", ""default"": false}, {""id"": 29094113092891, ""name"": ""PAR"", ""raw_name"": ""PAR"", ""value"": ""par"", ""default"": false}, {""id"": 29094113093019, ""name"": ""Payment Method Distribution"", ""raw_name"": ""Payment Method Distribution"", ""value"": ""payment_method_distribution"", ""default"": false}, {""id"": 30292975880091, ""name"": ""Recover"", ""raw_name"": ""Recover"", ""value"": ""recover"", ""default"": false}, {""id"": 29094113093147, ""name"": ""SDK/Mobile App"", ""raw_name"": ""SDK/Mobile App"", ""value"": ""sdk/mobile_app"", ""default"": false}, {""id"": 29094113093275, ""name"": ""Spreedly Account"", ""raw_name"": ""Spreedly Account"", ""value"": ""spreedly_account"", ""default"": false}, {""id"": 29094113093403, ""name"": ""Stored Credentials"", ""raw_name"": ""Stored Credentials"", ""value"": ""stored_credentials"", ""default"": false}, {""id"": 29094113093531, ""name"": ""Third Party Vaulting"", ""raw_name"": ""Third Party Vaulting"", ""value"": ""third_party_vaulting"", ""default"": false}]",2016-07-26T22:46:24Z,2024-10-22T21:20:45Z
3.60038E+11,tagger,Gateway (Migrations),Gateway (Migrations),"Import - Source of payment methods
Export - Recipient of Payment Methods","Import - Source of payment methods
Export - Recipient of Payment Methods",TRUE,FALSE,"[{""id"": 360048646673, ""name"": ""Authorize.net"", ""raw_name"": ""Authorize.net"", ""value"": ""authorize.net"", ""default"": false}, {""id"": 1260812477649, ""name"": ""Braintree"", ""raw_name"": ""Braintree"", ""value"": ""braintree_gateway"", ""default"": false}, {""id"": 1260812477669, ""name"": ""Stripe"", ""raw_name"": ""Stripe"", ""value"": ""stripe_gateway"", ""default"": false}, {""id"": 1260812477689, ""name"": ""WePay"", ""raw_name"": ""WePay"", ""value"": ""wepay_gateway"", ""default"": false}, {""id"": 360048646753, ""name"": ""Other (Enter in Description)"", ""raw_name"": ""Other (Enter in Description)"", ""value"": ""other__enter_in_description_"", ""default"": false}]",2020-04-11T17:13:24Z,2024-06-21T16:57:38Z
1.14098E+11,checkbox,Do Not Auto-Solve,Do Not Auto-Solve,,,FALSE,FALSE,[],2017-09-04T20:48:59Z,2024-05-08T18:55:40Z
